,Specs,Score
3068,capitalism,50.73709046739546
9792,of america,50.57407832631715
4809,egypt,50.49697665518561
7915,islamic,50.49697665518561
8905,martial,50.49697665518561
2696,body,50.24569838367516
16328,troops,50.22962112514352
16446,un,50.18604593500536
6497,head,50.059095767845136
5394,files,50.04400306161501
1931,army,49.97893356221135
6007,goes to,49.85577992390988
13465,symbols,49.85577992390988
7507,influenza,49.81295494912029
8726,love,49.64822664225651
10941,place,49.362007154372954
9422,natural,49.20233880484928
10288,one day,49.163495343793855
9098,middle,49.03829840911473
2528,behind,48.92804144955696
13681,terrorism,48.86345197091466
3591,completely,48.85914425910622
908,actually,48.637947610880964
9954,of our,48.433742697377134
3664,congress,48.381305013394574
5917,get,48.306308460890705
741,a war,48.03527286643704
2335,bases,48.03527286643704
2623,biden,48.03527286643704
8006,it is the,47.8995024875622
3352,civilizations,47.777794786750015
7905,is why,47.593051154484
9060,mental,47.593051154484
13349,suffering,47.5901934978018
2582,below,47.4959834971484
3593,complex,47.364424033677764
4487,divine,47.29215725088088
5209,f,47.23721393034827
13680,terror,47.20623286891944
13087,sponsored,47.12951619075837
12126,russia and,47.07238863955282
15451,this report,47.07238863955282
15310,they have,46.98606454904963
2624,big,46.955209420200426
1042,ago,46.9400731092548
2722,born,46.818936088786835
307,9 11,46.81163802889075
3391,click here,46.81163802889075
6592,here is,46.762110194946025
10741,peace,46.762110194946025
3116,cases in,46.71906738496865
7447,indeed,46.644316877152704
9921,of man,46.56006123230004
11360,prostitution,46.38461538461539
14586,the military industrial,46.38461538461539
15044,the vaccine industry,46.38461538461539
16738,verse,46.38461538461539
5266,false,46.16208777169233
6859,i am,45.89903314353653
11042,policy,45.87115647827373
1079,al,45.83613357109706
1604,and their,45.81014159969385
15492,those who,45.713878881454804
15545,through the,45.713878881454804
13463,symbolic,45.69243294019413
17504,will be,45.51683111754495
8118,its own,45.26625139441908
458,a great,45.26270788220533
17802,wuhan,45.26270788220533
4557,dollars,45.18594208444956
17338,where,45.17671811142849
7202,in his,45.12986109400177
2585,belt,45.08738359484629
6821,https www,45.08738359484629
11985,revelations,45.08738359484629
14527,the light,45.08738359484629
6809,however,44.93362951130636
17379,which is,44.80710525745728
11064,pope,44.790180320118864
15008,the true,44.790180320118864
2642,bill gates,44.72162265595102
6830,human rights,44.72162265595102
9174,missile,44.703185430314505
9186,mk,44.703185430314505
14188,the cross,44.703185430314505
5033,events,44.70016253573762
9652,not to,44.69713202072303
8956,mccain,44.68431805469694
3273,child,44.66554451821163
7903,is what,44.578445564818054
3846,corruption,44.37900992773689
11743,relations,44.32613853807884
10104,of war,44.32255134583493
2104,astronomers,44.30830463069269
5944,giants,44.30830463069269
8271,kills,44.30830463069269
16286,treasury,44.30830463069269
4944,entire,44.28708584281003
8269,killing,43.927091040523884
1633,and us,43.52476081132799
3350,civilians,43.52476081132799
17465,whom,43.30961525355309
1418,and free,43.292307692307695
6814,however they,43.292307692307695
7475,industrial complex,43.292307692307695
16338,trump,43.17714847707166
14388,the good,43.070089623439166
10300,one of,43.051212333447396
10160,oil,43.03507329185915
9139,millions of,43.00995024875622
14599,the most,42.9868488229254
8150,jews,42.88969943183491
10396,opposition,42.88969943183491
16771,victims,42.79107347876005
9394,name of,42.75763425376378
8851,mandatory,42.70782858689666
9907,of jesus,42.70562571756602
14840,the rich,42.70562571756602
17188,welch,42.6865671641791
5055,everything,42.68593665755371
17638,without,42.58671494598018
14964,the sun,42.477217321957696
17955,you think,42.45662074244164
8135,japanese,42.38101209926698
8782,magic,42.38101209926698
9661,note,42.15903658692155
9717,nsa,42.15205244679611
